template_id,file_path,branch,domain,area,difficulty,surface_model_heldout,blind_guess_floor,n_steps,n_milestone_candidates,has_instance_branching,answer_type,unit_system,values_bound,instrumentation_class,est_effort,n_inline_computed,pct_step_values_recoverable,pct_answer_values_recoverable,notes,regen_provenance,regen_inline_lenient,regen_milestone_proxy,regen_branching_base,regen_branch_evidence,regen_class_restated,regen_class_limb
template_levenspiel_plot_interpretation,data/templates/branches/chemical_engineering/reaction_kinetics/conversion_and_reactor_sizing.py,chemical_engineering,chemical,reaction_kinetics,Advanced,1.0000,1.0000,8,27,yes,array,SI,partial,D,high,3,100,100,"np.trapezoid over a generated table; step numbering restarts (1,2,3,1,2,3,4,5,6) so **Step N** is not a unique id; milestone count 16/20/22 by instance; 6 try/except fallbacks silently substitute a different formula; BUG: unseeded np.random means the recorded seed cannot regenerate the item.","REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",3,29,yes,line-count,D,D:inherited-judgement
template_batch_reactor_first_order,data/templates/branches/chemical_engineering/reaction_kinetics/mole_balances.py,chemical_engineering,chemical,reaction_kinetics,Intermediate,,,6,9,no,scalar,SI,no,A,medium,5,67,100,"5 inline in Step 6; only `time` is bound. 1/k, C_A0/C_A and ln(.) exist only in the f-string.","REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",5,7,no,,A,A:residual
template_batch_reactor_second_order,data/templates/branches/chemical_engineering/reaction_kinetics/mole_balances.py,chemical_engineering,chemical,reaction_kinetics,Advanced,,,6,9,no,scalar,SI,no,A,medium,6,67,100,6 inline; 5 of 6 Step-6 intermediates unbound. Instrumenting means rewriting the computation.,"REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",6,7,no,,A,A:residual
template_batch_reactor_zero_order,data/templates/branches/chemical_engineering/reaction_kinetics/mole_balances.py,chemical_engineering,chemical,reaction_kinetics,Easy,,,5,6,no,scalar,SI,partial,A,low,2,100,100,2 inline; {C_A0 - C_A} prints a raw float (4.140000000000001). Steps 1-4 narrative.,"REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",2,5,no,,A,A:residual
template_cstr_volume_basic,data/templates/branches/chemical_engineering/reaction_kinetics/mole_balances.py,chemical_engineering,chemical,reaction_kinetics,Easy,,,3,2,no,scalar,SI,yes,A,low,0,100,100,Cleanest in branch. Step 1 is a formula statement with no number.,"REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",0,4,no,,A,A:residual
template_pfr_volume_changing_rate,data/templates/branches/chemical_engineering/reaction_kinetics/mole_balances.py,chemical_engineering,chemical,reaction_kinetics,Advanced,,,4,9,no,scalar,SI,partial,D,high,1,100,100,"Prints a solver artifact as a step value (Integration error: {:.2e}) - machine dependent. n=2.0 ~10% of draws contradicts the printed ""non-integer order"" note.","REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",1,13,no,,D,D:inherited-judgement
template_batch_moles_vs_conversion,data/templates/branches/chemical_engineering/reaction_kinetics/stoichiometry.py,chemical_engineering,chemical,reaction_kinetics,Easy,,,3,8,no,multipart,SI,no,C,medium,5,100,98,"5 inline. Terminator is **Final Answer**, not **Answer:** - the evaluator parser misses it.","REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",5,21,yes,prose-only,C,C:answer_type
template_flow_system_molar_flow_rates,data/templates/branches/chemical_engineering/reaction_kinetics/stoichiometry.py,chemical_engineering,chemical,reaction_kinetics,Intermediate,,,3,15,no,multipart,SI,yes,C,medium,0,100,100,"F_B and F_C each computed twice (Direct and Theta methods) - two DAG nodes, identical value. **Final Answer** terminator.","REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",0,26,yes,prose-only,C,C:answer_type
template_gas_phase_concentration,data/templates/branches/chemical_engineering/reaction_kinetics/stoichiometry.py,chemical_engineering,chemical,reaction_kinetics,Advanced,,,4,7,yes,multipart,SI,no,C,high,8,90,100,"5 numeric inline. BUG: epsilon sampled on [-0.5,0.5] but delta<=0 for these stoichiometries, so ~half of instances state an unreachable expansion factor. **Final Answer** terminator.","REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",8,13,yes,prose-only,C,C:answer_type
template_limiting_reactant,data/templates/branches/chemical_engineering/reaction_kinetics/stoichiometry.py,chemical_engineering,chemical,reaction_kinetics,Intermediate,,,2,7,yes,multipart,SI,partial,C,high,3,100,100,is_A_limiting=random.choice selects a different governing equation set for the same symbol N_A. Classification + 4 numerics in 2 steps. **Final Answer** terminator.,"REGENERATED=n_inline_computed,n_steps,pct_step,pct_answer;MEASURED-BUT-NOT-SUBSTITUTED=regen_milestone_proxy(scale +27% vs audit),regen_branching_base(over-reports; see regen_branch_evidence),regen_class_restated;INHERITED-NOT-REMEASURED=difficulty,est_effort,notes,answer_type,unit_system,values_bound,has_instance_branching,n_milestone_candidates,instrumentation_class",3,16,yes,prose-only,C,C:answer_type
